A,K,VLL,ELBO,ARI,Clusters,BIC
200.4555921,1915.40796,-888530.5039,1.78545E+13,0.479113961,3,8705548.763
243.5270678,1946.235353,-975175.7505,1.78545E+13,0.562832162,2,6569341.803
1585.386123,488.6208027,-6876726.518,1.78545E+13,0.562832162,2,18372443.34
994.8671955,1942.208011,-2219314.394,1.78545E+13,0.562832162,2,9057619.091
179.42924,633.2818617,-1547839.557,1.78545E+13,0.509956564,3,10024166.87
1323.4581,1525.168541,-2997521.991,1.78545E+13,0.562832162,2,10614034.28
1663.480721,1515.11138,-3388086.879,1.78545E+13,0.562832162,2,11395164.06
190.7326685,163.3087123,-3212591.149,1.78545E+13,0.562832162,2,11044172.6
957.9128194,644.6326363,-4332004.762,1.78545E+13,0.562832162,2,13282999.83
658.297377,1652.33446,-1908316.08,1.78545E+13,0.562832162,2,8435622.462
205.0808441,969.417013,-1297329.496,1.78545E+13,0.488519575,3,9523146.748
1547.133916,1255.614462,-3672928.075,1.78545E+13,0.562832162,2,11964846.45
1714.945929,1492.196814,-3472037.521,1.78545E+13,0.562832162,2,11563065.34
1512.480253,526.5732622,-6395750.006,1.78545E+13,0.562832162,2,17410490.31
6.600672098,928.8981138,-564149.9051,1.78545E+13,0.347858553,8,19604274.83
1692.769484,1609.597326,-3293602.008,1.78545E+13,0.562832162,2,11206194.32
317.5912255,300.3142327,-3376128.838,1.78545E+13,0.562832162,2,11371247.98
1033.505766,653.815265,-4490498.958,1.78545E+13,0.562832162,2,13599988.22
413.5377591,530.6468912,-2877007.846,1.78545E+13,0.562832162,2,10373005.99
1955.707148,1758.262581,-3347152.233,1.78545E+13,0.562832162,2,11313294.77
1945.5379,1658.646995,-3458026.624,1.78545E+13,0.562832162,2,11535043.55
1316.693657,222.512644,-9717736.047,1.78545E+13,0.562832162,2,24054462.4
1527.032133,1377.662421,-3441287.246,1.78545E+13,0.562832162,2,11501564.79
1532.243275,322.8083401,-8684015.527,1.78545E+13,0.562832162,2,21987021.35
