"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"117",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150603.332387897,-251239.134620589,0.0102887875599205,20,45888737.7989183,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"118",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150625.712708046,-247102.024398468,0.0247058915248423,20,45888693.038278,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"119",-2536449.57163745,17902031607683.5,0.47911396113061,3,12001386.8984344,150764.058154332,-251992.721083455,0.00316641257183066,20,45888416.3473854,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"120",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150805.646444406,-253561.283659995,0.00822372281907027,20,45888333.1708053,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"121",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,151024.234849845,-252767.99303767,0.00417187168548331,20,45887895.9939944,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"122",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150651.320032269,-252932.251616431,-0.0104063467794151,20,45888641.8236296,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"123",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150705.430648604,-251520.977491898,0.0164798687858789,19,43579036.1489537,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"124",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150424.819134533,-247632.472356623,-0.000116563702063171,18,41270099.9185386,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"125",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150887.765011939,-252271.90545823,0.0120985119770567,20,45888168.9336702,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"126",-2537191.2732316,17902032920997.1,0.548412006866433,3,12002870.3016227,150854.782584112,-252932.256258109,-0.0109970157670888,20,45888234.8985259,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"127",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,151166.911297741,-251552.71743554,0.0269254704867539,20,45887610.6410986,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"128",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150806.425723012,-253120.43306746,-0.0105554729618704,20,45888331.6122481,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"129",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150636.299009519,-252443.209612637,0.00325229883712768,20,45888671.8656751,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"130",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150738.495670072,-252011.459939471,-0.00267222990553433,20,45888467.472354,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"131",-2536813.10225247,17902031976782.3,0.521953836202136,3,12002113.9596644,150951.438346367,-252072.992203859,0.0120662466755058,20,45888041.5870014,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
